created_at,player_east,player_east_score,player_south,player_south_score,player_west,player_west_score,player_north,player_north_score
17.01.2018,11,36700,5,28300,2,27400,3,7600
17.01.2018,5,22000,2,38900,3,32900,11,6200
25.01.2018,5,27700,3,16300,11,20700,2,35300
01.02.2018,3,37700,1,10700,2,30700,11,20900
08.02.2018,4,22000,1,45900,3,29300,2,2800
01.03.2018,9,47400,2,21400,3,16200,5,15000
06.03.2018,9,45300,2,11700,5,25200,1,17800
19.03.2018,3,26500,2,1200,11,50300,1,22100
10.05.2018,11,4200,3,44700,1,27600,2,23500
24.05.2018,3,25600,11,15800,2,32400,1,26200
24.05.2018,2,20200,1,35300,3,12500,11,32000
31.05.2018,2,-3000,1,50500,4,26600,7,25900
31.05.2018,2,20800,1,57200,4,13400,7,8600
06.06.2018,7,33900,1,1400,5,1800,2,62900
06.06.2018,5,49600,2,-8000,7,43700,1,14700
07.08.2018,5,-1000,2,29200,1,56700,3,15100
07.06.2018,2,7400,1,29900,5,53100,3,9600
27.06.2018,5,8700,7,19900,2,42600,11,28800
28.06.2018,5,31800,3,24700,1,38700,2,4800
30.06.2018,4,31100,3,35500,1,-1200,12,34600
30.06.2018,4,28500,3,-1300,1,25300,12,47500
05.07.2018,3,14500,5,33600,7,2900,2,49000
19.07.2018,5,20400,3,20000,2,25700,1,33900
19.07.2018,5,20800,3,25300,2,38300,1,15600
25.07.2018,1,27100,2,22000,11,16900,5,34000
25.07.2018,5,23000,1,5700,2,30400,11,40900
01.08.2018,5,28900,1,7400,2,25100,11,38600
01.08.2018,11,27500,5,36500,1,24000,2,12000
02.08.2018,3,21700,4,20800,7,42900,2,14600
02.08.2018,2,15400,4,51400,7,16400,3,16800
16.08.2018,1,11700,5,28100,3,27800,2,32400
23.08.2018,1,-2000,3,33700,2,35300,9,34000
23.08.2018,1,34000,9,30600,3,11600,2,23800 
29.08.2018,11,30100,9,29400,2,-700,1,41200
29.08.2018,11,8900,2,25100,9,39700,1,26300 
30.08.2018,3,31300,13,22000,5,39200,9,7500
30.08.2018,3,38800,13,4000,5,29200,9,28000 
06.09.2018,3,6700,2,17700,1,38800,4,36800 
06.09.2018,4,-300,1,38700,3,36500,2,25100 
20.09.2018,1,31400,3,14000,8,6300,2,48300 
26.09.2018,8,53300,2,4000,3,25200,14,17500 
26.09.2018,8,7400,14,29300,2,29900,3,33400 
03.10.2018,1,26600,2,4700,14,42900,11,25800 
04.10.2018,14,26000,3,57600,8,-12500,2,28900
