created_at,player_east,player_east_score,player_south,player_south_score,player_west,player_west_score,player_north,player_north_score
16.11.2015,4,23100,2,22700,3,21500,1,32700
02.12.2015,1,38200,3,40100,2,-300,4,22000
08.12.2015,3,26600,2,38200,1,11400,4,23800
14.12.2015,3,15700,4,21100,2,33700,1,29300
21.12.2015,2,22900,4,-800,1,28100,3,49800
28.12.2015,3,19000,10,15500,2,22800,1,42700
16.11.2015,2,39400,3,20300,1,29400,4,10900
02.12.2015,4,9800,3,66700,2,-4000,1,27500
08.12.2015,3,27700,2,42700,1,16700,4,12900
14.12.2015,2,57500,1,-7400,3,35900,4,14200
21.12.2015,1,16000,3,22700,2,23700,4,37600
28.12.2015,10,33200,1,4000,3,32600,2,30200
04.01.2016,3,31200,1,12500,4,27300,2,29000
04.01.2016,1,18700,3,27400,2,18700,4,35200
11.01.2016,10,10900,2,43800,1,36800,3,8500
11.01.2016,1,39100,2,6800,10,29700,3,24400
18.01.2016,4,15000,10,28700,2,20300,3,36000
18.01.2016,3,42000,10,39200,4,-3400,2,22200
25.01.2016,3,38600,1,11400,2,2300,4,47700
25.01.2016,2,8900,4,16100,1,43300,3,31700
11.02.2016,3,24700,2,40800,1,24700,4,9800
11.02.2016,2,9800,1,28700,4,27600,3,33900
16.02.2016,2,24400,1,22000,4,22400,3,31200
16.02.2016,1,28800,3,12400,4,44200,2,14600
29.02.2016,4,4600,2,50500,1,26600,3,18300
29.02.2016,10,34500,2,4300,4,22100,3,39100
21.03.2016,1,10700,3,30100,2,37400,10,21800
21.03.2016,2,25000,1,24000,4,14000,3,37000
28.03.2016,3,19400,1,35000,10,34000,2,11600
29.03.2016,2,34900,1,2900,3,22300,7,39900
29.03.2016,3,19000,7,6500,2,25000,10,49500
04.04.2016,4,20000,2,27000,3,32800,1,20200
04.04.2016,1,20900,2,11300,4,32000,3,35800
21.04.2016,1,30600,2,22700,3,24800,4,21900
21.04.2016,2,5700,4,36500,1,31400,3,26400
26.04.2016,4,42500,2,-5800,3,41500,1,21800
26.04.2016,1,12800,3,21200,4,32400,2,33600
03.05.2016,2,15300,7,34000,1,27000,3,23700
03.05.2016,7,21700,3,32200,2,35400,1,10700
24.05.2016,4,18100,3,11100,2,30700,1,40100
24.05.2016,1,24200,4,35600,2,18000,3,22200
31.05.2016,4,39900,2,6400,1,29700,9,24000
31.05.2016,9,21200,4,30700,2,17400,1,30700
05.07.2016,2,6600,3,19900,4,8700,1,64800
05.07.2016,4,17700,1,30400,3,30700,2,21200
12.07.2016,1,66500,4,-18000,2,20000,3,31500
12.07.2016,2,37900,1,27600,3,23900,4,10600
09.08.2016,7,-3500,2,72400,3,12700,9,18400
09.08.2016,9,23900,3,19000,2,34300,7,22800
18.08.2016,2,30300,7,55000,3,5100,9,9600
18.08.2016,2,23000,7,22000,3,18300,9,36700
04.10.2016,6,35700,2,27500,8,27000,7,9800
04.10.2016,8,56500,2,28600,7,16100,6,-1200
04.10.2016,7,62400,2,25400,6,12400,8,-200
12.10.2016,8,-300,2,26300,6,30500,7,43500
12.10.2016,8,22400,2,3500,6,21400,7,52700
12.10.2016,8,11000,2,29000,6,22800,7,37200
20.10.2016,2,32900,7,52900,8,13200,6,1000
20.10.2016,7,18700,8,23500,2,25800,6,32000
25.10.2016,1,34300,4,12200,2,27200,3,26300
27.10.2016,2,20100,6,52800,8,10300,7,16800
27.10.2016,7,43400,2,-1400,8,21800,6,36200
28.10.2016,9,-400,1,20700,4,26900,2,52800
22.11.2016,2,46200,6,43600,8,17800,7,-7600
22.11.2016,2,33100,8,22600,6,10900,7,33400
07.12.2016,2,19200,4,21000,3,24000,1,35800
07.12.2016,1,8300,2,23000,3,54800,4,13900
19.12.2016,1,26000,5,24400,3,36600,2,13000
19.12.2016,3,20900,4,12200,1,67900,5,-1000
19.12.2016,4,24500,5,26700,2,32700,3,16100
05.01.2017,9,-7400,1,16600,7,40000,3,50800
05.01.2017,5,-4600,1,40300,9,18400,7,45900
31.01.2017,4,24700,3,12000,1,38500,2,24800
07.02.2017,3,29800,7,4700,1,32500,2,33000
07.02.2017,3,-2900,7,41500,2,48200,1,13200
13.04.2017,3,20300,2,23100,7,25400,1,31200
13.04.2017,1,24100,3,32200,2,36200,7,7500
15.04.2017,5,18700,8,9800,6,29400,2,42100
15.04.2017,8,12000,6,33700,5,17100,2,37200
15.04.2017,5,33200,2,41200,6,-1000,8,26600
16.04.2017,6,-100,2,36700,5,19800,8,43600
20.04.2017,2,19700,1,16300,5,25900,3,38100
23.04.2017,2,6400,5,38600,3,31700,1,23300
27.04.2017,5,13500,3,6900,7,36000,2,43600
18.05.2017,3,54900,1,-9800,5,33100,2,21800
25.05.2017,5,13700,6,24000,1,50500,2,11800
25.05.2017,5,21700,6,38100,1,17700,2,22500
30.05.2017,6,28100,1,33600,2,33100,5,5200
30.05.2017,9,36800,2,32400,6,-100,5,30900
05.06.2017,3,14400,9,3000,1,50600,2,32000
08.06.2017,9,28600,5,7300,1,35800,3,28300
13.06.2017,1,7700,4,32100,5,4300,2,55900
13.06.2017,5,4300,3,18300,2,48200,7,29200
19.06.2017,5,8500,2,-5000,1,40700,7,55800
04.07.2017,1,45800,7,11000,5,37900,2,5300
20.07.2017,3,36900,2,17600,5,25900,7,19600
20.07.2017,5,11400,2,50600,3,31600,7,6400
25.07.2017,3,32200,2,19400,7,26900,5,21500
27.07.2017,4,33000,5,31800,2,13300,1,21900
03.08.2017,3,17800,1,44100,5,19600,2,18500
03.08.2017,3,24500,2,21500,5,23100,7,30900
08.08.2017,11,1400,3,20800,2,41400,7,36400
